language pair	# of users
en-fr	211
en-it	200
de-en	197
en-es	186
de-ru	184
en-pl	182
en-ru	175
es-it	164
es-fr	159
fr-it	154
en-zh	154
en-nl	153
de-fr	152
en-pt	152
es-pt	151
ru-uk	143
fr-ru	140
cs-en	139
ca-es	138
en-ko	136
en-uk	133
en-yue	132
af-en	130
da-en	130
en-is	128
cs-fr	127
cs-es	126
en-la	126
da-is	126
en-lt	126
cs-it	125
ca-en	124
de-nl	124
yue-zh	124
bn-en	123
en-zh-hant	121
en-sv	120
ca-fr	118
en-grc	118
de-la	117
grc-la	117
fr-uk	117
en-or	117
ca-it	116
de-uk	116
ca-oc	115
en-oc	115
es-oc	115
fr-oc	115
it-oc	114
en-zh-hans	114
en-et	114
zh-hans-zh-hant	113
yue-zh-hant	112
li-nl	112
de-grc	111
en-li	111
de-et	110
ca-cs	110
cs-oc	110
ast-es	110
ast-en	110
et-la	109
af-nl	109
et-grc	108
de-lt	107
en-mg	106
fr-mg	106
en-no	105
af-li	105
es-mg	105
de-de-at	101
ab-en	100
ab-af	99
en-ja	88
en-nn	77
az-tr	77
el-en	74
it-sv	73
fr-nl	70
ar-en	67
en-fa	66
en-fi	64
en-hr	64
de-el	61
en-id	60
de-pl	60
no-sv	59
ar-fr	58
fr-pt	56
nn-sv	56
als-de	55
nb-nn	54
en-tr	54
als-en	53
en-nb	53
it-pt	49
de-pt	49
de-es	48
nn-no	48
es-gl	47
de-it	46
de-ksh	45
ar-nl	44
en-gl	43
diq-tr	42
en-ksh	42
az-en	42
el-fr	42
en-kk	41
kk-ru	41
az-diq	41
es-eu	41
de-id	40
en-eu	40
cs-sk	39
gl-it	39
es-ja	39
es-nl	38
de-eo	38
ru-tr	38
de-sv	38
pl-ru	37
fr-ja	37
cs-de	36
en-hu	36
en-sr	36
ja-pt	36
en-simple	35
es-ro	34
fr-ro	34
en-sk	34
en-eo	34
az-fa	34
hr-sr	34
ca-eu	34
fr-pl	34
it-ro	33
az-gag	33
gag-tr	33
es-ru	33
es-pl	33
en-lv	33
lv-ru	33
fr-sv	33
diq-gag	32
ja-pl	32
af-de	32
fr-tr	32
it-ru	32
en-ro	32
it-la	31
el-es	31
en-he	31
pt-ru	31
de-tr	31
de-no	31
ja-ru	31
ru-sv	31
de-fi	31
fi-sv	31
de-hu	31
es-tr	31
it-scn	30
de-ja	30
de-zh	30
ja-zh	30
no-ru	30
pt-zh	30
ru-zh	30
de-is	30
fr-is	30
is-sv	30
pl-tr	30
fi-ru	30
is-ru	30
de-hr	30
it-ja	30
da-de	30
da-fr	30
fr-la	29
es-hr	29
ja-no	29
ja-sv	29
no-pt	29
no-zh	29
pt-sv	29
sv-zh	29
pt-ro	29
ro-ru	29
fr-no	29
en-sq	29
de-sr	29
fr-hu	29
cs-ru	29
ru-sr	29
nl-ru	29
hr-ru	29
el-it	29
es-zh	29
cs-pl	29
hu-ru	29
da-ru	29
da-sv	29
da-nl	29
ja-tr	29
lv-tr	29
en-hi	28
it-tr	28
en-mk	28
mk-ru	28
is-no	28
hr-mk	28
hr-sq	28
mk-sq	28
mk-sr	28
sq-sr	28
de-mk	28
el-mk	28
el-pl	28
el-sr	28
el-tr	28
mk-pl	28
mk-tr	28
pl-sr	28
sr-tr	28
es-hu	28
it-pl	28
el-is	28
el-nl	28
el-ru	28
es-is	28
es-mk	28
fr-mk	28
is-mk	28
is-nl	28
mk-nl	28
es-sr	28
hr-it	28
it-sr	28
es-sv	28
de-ro	28
no-pl	28
pl-sv	28
es-fi	28
de-sq	28
fi-tr	28
fr-sq	28
fr-zh	28
hr-lv	28
hr-tr	28
ja-ro	28
nl-sv	28
cs-nl	27
da-no	27
cs-tr	27
it-sk	27
pl-sk	27
sk-tr	27
de-sk	27
ru-sk	27
cs-hu	27
hu-pl	27
hu-sk	27
lv-pl	27
cs-hr	27
cs-sr	27
hr-sk	27
sk-sr	27
fr-sk	27
cs-ja	27
cs-zh	27
nl-pl	27
hu-ro	27
da-el	27
el-no	27
da-pl	27
de-lv	27
cs-el	27
cs-fi	27
cs-no	27
cs-ro	27
cs-sv	27
el-fi	27
el-ro	27
el-sk	27
el-sv	27
es-no	27
es-sk	27
fi-fr	27
fi-it	27
fi-no	27
fi-ro	27
fi-sk	27
it-no	27
no-ro	27
no-sk	27
ro-sk	27
ro-sv	27
sk-sv	27
hu-sv	27
fi-pl	27
cs-da	27
cs-is	27
cs-lv	27
cs-mk	27
cs-pt	27
cs-sq	27
da-es	27
da-fi	27
da-hr	27
da-hu	27
da-it	27
da-ja	27
da-lv	27
da-mk	27
da-pt	27
da-ro	27
da-sk	27
da-sq	27
da-sr	27
da-tr	27
da-zh	27
el-hr	27
el-hu	27
el-ja	27
el-lv	27
el-pt	27
el-sq	27
el-zh	27
es-lv	27
es-sq	27
fi-hr	27
fi-hu	27
fi-is	27
fi-ja	27
fi-lv	27
fi-mk	27
fi-nl	27
fi-pt	27
fi-sq	27
fi-sr	27
fi-zh	27
fr-hr	27
fr-lv	27
fr-sr	27
hr-hu	27
hr-is	27
hr-ja	27
hr-nl	27
hr-no	27
hr-pl	27
hr-pt	27
hr-ro	27
hr-sv	27
hr-zh	27
hu-is	27
hu-it	27
hu-ja	27
hu-lv	27
hu-mk	27
hu-nl	27
hu-no	27
hu-pt	27
hu-sq	27
hu-sr	27
