language	# of users
en	21783
ru	13363
es	11007
it	9002
fr	4122
de	2959
pt	2648
cs	2073
ca	1985
uk	1893
pl	740
zh	733
sk	588
bg	574
la	486
no	486
be	450
ja	424
sr	414
nl	366
he	350
vec	334
gl	315
sv	294
tr	281
ar	239
scn	235
nap	234
hr	202
az	199
nn	196
eo	193
ro	192
lmo	180
fi	172
ko	163
hu	151
pt-BR	144
eu	135
el	133
da	129
yue	128
nb	125
ast	123
kk	122
hy	118
fa	114
lv	109
et	108
id	108
bs	104
lt	99
sh	97
tt	96
hi	94
grc	79
pms	70
mk	66
ka	65
uz	65
is	61
gsw	55
sc	54
bn	49
sl	48
eml	44
fur	44
lij	43
simple	37
tg	36
ms	36
sq	35
ba	32
ky	30
zh-Hans	30
th	29
cu	29
lzh	29
zh-Hant	27
af	27
ur	27
vi	27
oc	24
sah	24
tl	23
cv	21
en-GB	20
nds	19
nan	19
tyv	19
rue	18
pa	18
szl	18
jv	18
ta	18
ce	18
te	17
tk	16
ne	16
ga	16
lez	16
crh	15
ku	15
bar	15
or	14
os	14
ia	13
lb	13
lol	13
diq	12
mn	12
kbd	12
rut	12
li	11
ml	11
lad	11
yi	11
olo	11
sco	10
ext	10
an	10
rm	10
gn	10
zh-CN	9
qu	9
zh-TW	9
cy	9
krl	9
av	9
gag	8
cmn	8
hif	8
kab	8
fo	8
kn	8
lld	8
udm	8
br	7
sgs	7
en-CA	7
ceb	7
bua	7
sw	7
en-gb	7
mhr	7
als	6
wuu	6
ksh	6
ckb	6
hsb	6
krc	6
tn	6
si	6
zh-hant	5
pfl	5
ab	5
min	5
ang	5
io	5
tly	5
nah	5
sdc	5
arc	5
pdc	5
tlh	5
pnb	5
mr	5
sa	5
pt-br	5
luz	5
roa-Tara	5
xmf	5
yrk	5
ady	4
kiu	4
kaa	4
lfn	4
zh-yue	4
atj	4
mdf	4
azb	4
hil	4
sdh	4
ug	4
frp	4
hrx	4
gd	4
sjn	4
am	4
mt	4
mai	4
fil	4
qya	4
koi	4
myv	4
cdo	3
zh-hans	3
bqi	3
bat-smg	3
ary	3
ie	3
jbo	3
prs	3
as	3
vls	3
ise	3
bo	3
lo	3
css	3
ee	3
se	3
arq	3
ch	3
su	3
zza	3
kea	3
tcy	3
jam	3
so	3
alt	3
zh-min-nan	3
vro	3
kl	3
ilo	3
rw	3
tab	3
tkr	3
csl	3
inh	3
kv	3
zu	3
de-at	2
de-AT	2
nov	2
vo	2
pes	2
cr	2
orv	2
bho	2
win	2
nv	2
pnt	2
ace	2
aeb	2
gu	2
kg	2
sn	2
ak	2
om	2
zh-HK	2
fy	2
ppl	2
gom	2
sat	2
dty	2
zh-tw	2
xal	2
arn	2
chr	2
tokipona	2
ln	2
mzn	2
bi	2
gcf	2
xmm	2
wa	2
pcd	2
ks	2
my	2
bxr	2
ckt	2
kca	2
egy	2
udi	2
bot	1
rn	1
mg	1
otk	1
be-x-old	1
ota	1
gmh	1
goh	1
bcc	1
ki	1
tun	1
api	1
egl	1
fax	1
arz	1
bjn	1
mhl	1
rjs	1
rkt	1
Az	1
Azb	1
Tk	1
Tr	1
Tt	1
Ug	1
Uz	1
man	1
map-bms	1
vsv	1
mff	1
sdn	1
zh-cn	1
co	1
csb	1
blr	1
dsb	1
sxu	1
yo	1
mat	1
guc	1
vep	1
swg	1
lus	1
frc	1
dz	1
ayl	1
afh	1
avk	1
ess	1
fuf	1
mus	1
nds-NL	1
pon	1
aiq	1
bhh	1
deh	1
haz	1
jdt	1
jpr	1
phv	1
ttt	1
shy	1
bh	1
bjm	1
hac	1
lki	1
sdb	1
sdf	1
zh-MO	1
zh-MY	1
zh-SG	1
pap	1
frr	1
zh-classic	1
ame	1
prl	1
ss	1
hsn	1
kha	1
hoc	1
ase	1
gom-deva	1
gom-latn	1
tmr	1
pam	1
gbm	1
st	1
tts	1
skr	1
cng	1
dng	1
ers	1
evn	1
gqi	1
kjh	1
mvm	1
nmy	1
pmi	1
pmj	1
qvy	1
qxs	1
sxg	1
txg	1
zhb	1
BG	1
mur	1
cas	1
yua	1
tpi	1
zea	1
mwl	1
lzz	1
glk	1
qxq	1
iu	1
bm	1
nrm	1
mo	1
mfe	1
sch	1
Zh	1
anp	1
bgz	1
rej	1
ig	1
ay	1
bpy	1
to	1
ve	1
rgn	1
bas	1
moz	1
km	1
lrc	1
shn	1
got	1
nso	1
wym	1
bal	1
ps	1
bra	1
brx	1
shs	1
gan	1
pih	1
seh	1
umb	1
roa-tara	1
agx	1
non	1
bln	1
dar	1
pdt	1
rom	1
gos	1
atv	1
kum	1
gv	1
war	1
lbe	1
ltg	1
new	1
sel	1
aln	1
tet	1
ts	1
CSB	1
ty	1
sim	1
tay	1
pas	1
